pid,Name,Pos,Age,Salary,Team,Season,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,STL,BLK,BA,PF,PTS,TD,5x5,PER,EWA,TS%,3PAr,FT/FGA,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,+/-,On-Off,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Ovr,Pot,Hgt,Str,Spd,Jmp,End,Ins,Dnk,FT.1,2Pt,3Pt,oIQ,dIQ,Drb,Pss,Reb,is_all_star
11,Ray Allen,SG,25,9.0,MIL,2000,82,82.0,37.4390243902439,7.829268292682927,17.20731707317073,45.49964564138909,2.097560975609756,4.963414634146342,42.26044226044226,5.7317073170731705,12.24390243902439,46.81274900398406,51.5946137491141,4.304878048780488,4.853658536585366,88.69346733668341,1.0121951219512195,3.3658536585365852,4.378048780487805,3.7560975609756095,2.231707317073171,1.3414634146341464,0.2317073170731707,0.7439024390243902,2.2804878048780486,22.0609756097561,0,0.0,20.6,12.341094527363186,57.0259501172673,0.2884479092841956,0.2820694542877392,3.2,10.5,6.8,17.0,1.9,0.5,10.344125893099394,25.6,2.3,8.5,110.0,9.0,1.0,10.0,0.1563517915309446,4.7,-1.1,3.6,4.3,68,72,40,66,71,70,70,51,60,78,76,75,63,52,67,61,53,1
36,Charles Barkley,F,37,9.0,HOU,2000,20,18.0,31.0,5.3,11.1,47.74774774774775,0.3,1.3,23.076923076923077,5.0,9.8,51.02040816326531,49.0990990990991,3.55,5.5,64.54545454545455,3.55,6.9,10.45,3.15,2.2,0.7,0.2,0.9,2.4,14.45,0,0.0,19.8,2.1715422885572138,53.43934911242604,0.1171171171171171,0.4954954954954955,13.1,24.4,18.9,17.3,1.2,0.4,13.994910941475828,22.3,-2.0,-1.1,104.0,1.3,0.6,1.9,0.1470967741935483,2.6,-0.6,2.0,0.6,49,49,50,57,26,14,24,63,62,36,39,40,61,57,57,56,80,0
61,Chauncey Billups,G,24,3.1,DEN,2000,13,5.0,23.46153846153846,2.6153846153846154,7.769230769230769,33.663366336633665,0.5384615384615384,3.1538461538461537,17.073170731707318,2.076923076923077,4.615384615384615,45.0,37.12871287128713,2.8461538461538463,3.3846153846153846,84.0909090909091,0.6153846153846154,2.0,2.6153846153846154,3.0,1.8461538461538465,0.7692307692307693,0.1538461538461538,0.3846153846153846,2.076923076923077,8.615384615384615,0,0.0,10.5,-0.0303482587064676,46.52708541043536,0.4059405940594059,0.4356435643564356,2.8,9.4,6.1,19.4,1.7,0.4,16.625103906899415,20.6,-4.1,-1.6,108.0,0.0,0.2,0.2,0.0314754098360655,-2.3,-0.4,-2.6999999999999997,0.0,48,57,36,43,57,55,36,44,43,55,45,57,45,41,60,57,48,0
103,Kobe Bryant,GF,22,9.0,LAL,2000,66,62.0,38.24242424242424,8.393939393939394,17.924242424242426,46.83009298393914,0.696969696969697,2.1818181818181817,31.944444444444443,7.696969696969697,15.742424242424242,48.893166506256016,48.77430262045647,5.015151515151516,6.106060606060606,82.13399503722084,1.6363636363636365,4.666666666666667,6.303030303030303,4.893939393939394,2.757575757575758,1.606060606060606,0.9393939393939394,0.7878787878787878,3.3333333333333335,22.5,0,0.0,21.7,11.25126368159204,54.582745236414965,0.1217244294167371,0.3406593406593406,4.6,12.9,8.8,22.4,2.2,1.7,11.800404585300068,26.8,9.9,4.9,98.0,6.1,4.5,10.6,0.2015847860538827,3.5,1.6,5.1,4.5,64,75,48,63,70,74,57,55,60,64,68,36,57,50,70,65,51,1
122,Vince Carter,GF,23,2.27,TOR,2000,82,82.0,38.1219512195122,9.609756097560975,20.682926829268293,46.4622641509434,1.1585365853658536,2.8780487804878048,40.25423728813559,8.451219512195122,17.804878048780488,47.465753424657535,49.262971698113205,5.317073170731708,6.719512195121951,79.12885662431943,1.829268292682927,3.975609756097561,5.804878048780488,3.926829268292683,2.1707317073170733,1.3414634146341464,1.1219512195121952,0.8658536585365854,3.207317073170732,25.695121951219512,1,0.0,23.4,16.049910447761192,54.34782608695651,0.1391509433962264,0.3248820754716981,5.2,12.1,8.5,20.5,1.8,2.1,8.410349454744761,30.0,4.0,17.5,105.0,9.1,2.7,11.8,0.181190019193858,5.6,-0.1,5.5,5.9,68,75,49,70,73,80,71,54,68,60,78,51,64,48,67,59,49,1
194,Vlade Divac,C,32,8.84,SAC,2000,82,81.0,28.951219512195124,4.682926829268292,9.317073170731708,50.26178010471204,0.0853658536585365,0.3170731707317073,26.923076923076923,4.597560975609756,9.0,51.0840108401084,50.71989528795812,2.8048780487804876,4.060975609756097,69.06906906906907,2.1219512195121952,5.878048780487805,8.0,2.975609756097561,2.317073170731707,1.2560975609756098,1.2560975609756098,0.8414634146341463,3.0609756097560976,12.25609756097561,1,0.0,18.0,6.992079601990051,55.18824408030576,0.0340314136125654,0.4358638743455497,7.6,21.3,14.4,15.4,2.1,2.8,17.264565841602153,19.3,2.3,1.9,98.0,3.0,4.1,7.1,0.1435551811288963,0.4,2.4,2.8,2.9,63,63,70,61,59,59,52,50,57,39,40,40,44,57,61,62,58,1
227,Tim Duncan,FC,24,3.86,SA,2000,74,74.0,38.851351351351354,8.486486486486486,17.31081081081081,49.024199843871976,0.0135135135135135,0.1486486486486486,9.090909090909092,8.472972972972974,17.16216216216216,49.37007874015748,49.06323185011709,6.202702702702703,8.14864864864865,76.11940298507463,3.5405405405405403,8.864864864864865,12.405405405405403,3.1621621621621623,3.27027027027027,0.8918918918918919,2.22972972972973,1.3243243243243243,2.8378378378378377,23.18918918918919,1,0.0,24.8,15.733830845771145,55.486574577060374,0.0085870413739266,0.4707259953161593,10.8,24.8,18.1,15.5,1.2,4.0,13.53225373534938,28.7,9.9,8.8,95.0,6.7,6.4,13.1,0.2187130434782609,3.8,1.8,5.6,5.5,70,74,71,79,68,73,64,72,69,56,55,40,58,48,62,61,74,1
245,Patrick Ewing,FC,38,15.0,NYC,2000,62,62.0,32.82258064516129,5.82258064516129,12.5,46.58064516129032,0.0,0.032258064516129,0.0,5.82258064516129,12.46774193548387,46.70116429495472,46.58064516129032,3.338709677419355,4.564516129032258,73.14487632508833,2.2580645161290325,7.483870967741935,9.741935483870968,0.935483870967742,2.2903225806451615,0.5806451612903226,1.3548387096774193,0.7741935483870968,3.161290322580645,14.983870967741936,0,0.0,16.9,4.738208955223879,51.63865172536464,0.0025806451612903,0.3651612903225806,8.4,26.2,17.6,5.2,1.0,3.1,13.63391965588755,24.3,2.9,1.8,97.0,0.9,3.9,4.8,0.1132186732186732,-0.6,0.4,-0.1999999999999999,0.9,57,57,71,68,36,34,31,61,66,46,44,20,52,68,47,42,79,0
270,Kevin Garnett,FC,24,16.81,MIN,2000,81,81.0,40.03703703703704,9.37037037037037,18.839506172839503,49.737876802096984,0.3703703703703703,1.0,37.03703703703704,9.0,17.839506172839506,50.449826989619375,50.720838794233295,3.814814814814815,4.987654320987654,76.48514851485149,2.753086419753086,9.049382716049385,11.802469135802468,4.950617283950617,3.308641975308642,1.4814814814814814,1.5555555555555556,0.5061728395061729,2.5308641975308643,22.925925925925927,1,0.0,23.6,16.198865671641794,54.49711226933371,0.0530799475753604,0.2647444298820445,7.9,26.6,17.1,21.5,1.9,2.8,13.591917880472268,27.4,5.4,11.6,99.0,6.1,5.6,11.7,0.173172987974098,4.6,1.7,6.3,6.8,68,74,63,72,64,71,68,60,54,55,69,43,53,56,66,68,73,1
314,Tim Hardaway,PG,34,4.8,MIA,2000,52,52.0,32.15384615384615,4.730769230769231,12.26923076923077,38.55799373040752,1.8076923076923077,4.923076923076923,36.71875,2.923076923076923,7.346153846153846,39.79057591623037,45.924764890282134,2.1153846153846154,2.5576923076923075,82.70676691729322,0.4807692307692308,2.4038461538461537,2.8846153846153846,7.403846153846154,2.2884615384615383,0.9423076923076924,0.0769230769230769,0.25,2.1538461538461537,13.384615384615383,0,0.0,16.4,3.593552238805969,49.9626715672199,0.4012539184952978,0.2084639498432602,1.8,8.3,5.2,38.2,1.6,0.2,14.591916813812048,22.8,8.0,4.6,105.0,2.6,1.6,4.2,0.1205741626794258,2.9,-1.1,1.7999999999999998,1.6,57,57,22,45,52,44,46,44,34,66,63,80,62,51,78,81,53,0
